,RE,time,energy_dash_10K,target_dash_10K,adoption_10K,energy_dash_30K,target_dash_30K,adoption_30K,energy_dash_100K,target_dash_100K,adoption_100K,energy_10K,target_10K,E_target_10K,p_10K,energy_30K,target_30K,E_target_30K,p_30K,energy_100K,target_100K,E_target_100K,p_100K,RE_0,RE_1
0,False,6.443936347961426,0.009775431180710115,340.2167053222656,True,0.012193949247116365,285.8280334472656,True,0.012194902921432771,285.8282165527344,True,0.009775431180710115,340.2167053222656,340.2167053222656,1.0,0.012193949247116365,285.8280334472656,285.8280334472656,1.0,0.012194902921432771,285.8282165527344,285.8282165527344,1.0,,
1,False,6.74250602722168,0.01690223934721402,272.296630859375,False,0.016598017240280427,318.30340576171875,False,0.020723612333053865,259.2220153808594,False,0.009775431180710115,340.2167053222656,340.2167053222656,0.37167241389092137,0.012193949247116365,285.8280334472656,285.8280334472656,0.37167241389092137,0.012194902921432771,285.8282165527344,285.8282165527344,0.37167241389092137,,
2,False,6.9978554248809814,0.020644457364792146,302.9570007324219,False,0.015751154447311677,272.1999206542969,False,0.013872416043991365,281.0343322753906,True,0.009775431180710115,340.2167053222656,340.2167053222656,0.8231041114958569,0.012193949247116365,285.8280334472656,285.8280334472656,0.8231041114958569,0.013872416043991365,281.0343322753906,284.2302551269531,0.8231041114958569,,
3,False,7.259746313095093,0.01661232235502652,310.65423583984375,False,0.01840809109281949,275.9609069824219,False,0.019670755887741365,280.81463623046875,False,0.009775431180710115,340.2167053222656,340.2167053222656,0.5102330931542292,0.012193949247116365,285.8280334472656,285.8280334472656,0.5102330931542292,0.013872416043991365,281.0343322753906,283.4312744140625,0.5102330931542292,,
4,False,7.5124475955963135,0.016903193021530427,272.296142578125,False,0.012360842252487458,281.03363037109375,True,0.02282837154936246,256.7308349609375,False,0.009775431180710115,340.2167053222656,340.2167053222656,0.3536938349902955,0.012360842252487458,281.03363037109375,284.86915283203126,0.3536938349902955,0.013872416043991365,281.0343322753906,282.95188598632814,0.3536938349902955,,
5,True,7.516454696655273,,,,,,,,,,0.009775431180710115,340.2167053222656,340.2167053222656,0.04201809982994183,0.013872416043991365,281.0343322753906,284.2300160725911,0.04201809982994183,0.012360842252487458,281.03363037109375,282.6321767171224,0.04201809982994183,True,False
6,False,7.756722450256348,0.018826754117721833,332.9104919433594,False,0.01696327450346402,272.64019775390625,False,0.02175453426908902,256.6733703613281,False,0.009775431180710115,340.2167053222656,340.2167053222656,0.3361754102890649,0.013872416043991365,281.0343322753906,283.7734898158482,0.3361754102890649,0.012360842252487458,281.03363037109375,282.40381295340404,0.3361754102890649,,
7,False,8.049505710601807,0.01653126003813199,276.0830383300781,False,0.018592150235885896,268.3660888671875,False,0.018549234891647615,268.60162353515625,False,0.009775431180710115,340.2167053222656,340.2167053222656,0.487652320578355,0.013872416043991365,281.0343322753906,283.431095123291,0.487652320578355,0.012360842252487458,281.03363037109375,282.23254013061523,0.487652320578355,,
8,False,8.280843496322632,0.02095154049467496,301.0522155761719,False,0.01719501736235074,277.6083068847656,False,0.02146270992826871,261.0007019042969,False,0.009775431180710115,340.2167053222656,340.2167053222656,0.3477552067576822,0.013872416043991365,281.0343322753906,283.164788140191,0.3477552067576822,0.012360842252487458,281.03363037109375,282.09932793511285,0.3477552067576822,,
9,False,8.654130697250366,0.016598970914596833,318.3037414550781,False,0.017110140348190583,316.7684631347656,False,0.004135401273483552,316.1074523925781,True,0.009775431180710115,340.2167053222656,340.2167053222656,1.0,0.013872416043991365,281.0343322753906,282.9517425537109,1.0,0.004135401273483552,316.1074523925781,285.50014038085936,1.0,,
10,False,8.991297245025635,0.009581835294479646,357.3949890136719,True,0.02210834744047574,288.4533386230469,False,0.01730468990873746,276.4423522949219,False,0.009581835294479646,357.3949890136719,341.7783674760298,0.21690976207023913,0.013872416043991365,281.0343322753906,282.77743252840907,0.21690976207023913,0.004135401273483552,316.1074523925781,288.2826232910156,0.21690976207023913,,
11,True,8.994470596313477,,,,,,,,,,0.004135401273483552,316.1074523925781,339.6391245524089,1.0,0.009581835294479646,357.3949890136719,288.99556223551434,1.0,0.013872416043991365,281.0343322753906,287.67859903971356,1.0,True,True
12,False,9.2703697681427,0.01733997585844449,351.0340576171875,False,0.022190363431686677,254.56626892089844,False,0.016486437345260896,272.97320556640625,True,0.004135401273483552,316.1074523925781,337.82899592472955,0.7383385741329095,0.009581835294479646,357.3949890136719,294.2570566030649,0.7383385741329095,0.016486437345260896,272.97320556640625,286.5474149263822,0.7383385741329095,,
13,False,9.488056898117065,0.016311914945358552,304.6444091796875,False,0.017979891324753083,268.3076171875,False,0.016469271207565583,294.0420227050781,True,0.004135401273483552,316.1074523925781,336.2774571010045,1.0,0.009581835294479646,357.3949890136719,298.76690891810824,1.0,0.016469271207565583,294.0420227050781,287.0827440534319,1.0,,
14,False,9.737202405929565,0.012604029203171052,379.8826904296875,False,0.018439562345260896,294.3621826171875,False,0.021759302640671052,265.09808349609375,False,0.004135401273483552,316.1074523925781,334.9327901204427,0.5412363204945578,0.009581835294479646,357.3949890136719,302.6754475911458,0.5412363204945578,0.016469271207565583,294.0420227050781,287.54669596354165,0.5412363204945578,,
15,False,9.991788387298584,0.016843111539596833,308.5982360839844,False,0.025493891263717927,343.2032470703125,False,0.022480280423874177,285.641845703125,False,0.004135401273483552,316.1074523925781,333.7562065124512,0.4977946998693638,0.009581835294479646,357.3949890136719,306.0954189300537,0.4977946998693638,0.016469271207565583,294.0420227050781,287.9526538848877,0.4977946998693638,,
16,False,10.284796476364136,0.016016275907272615,290.2230529785156,False,0.01717689755033902,277.608154296875,False,0.022241861844772615,300.8314514160156,False,0.004135401273483552,316.1074523925781,332.7180445053998,0.5117600275270973,0.009581835294479646,357.3949890136719,309.1130406996783,0.5117600275270973,0.016469271207565583,294.0420227050781,288.31085205078125,0.5117600275270973,,
17,True,10.288102626800537,,,,,,,,,,0.004135401273483552,316.1074523925781,331.79523383246527,0.014792077497856113,0.009581835294479646,357.3949890136719,311.79537116156683,0.014792077497856113,0.016469271207565583,294.0420227050781,288.6292504204644,0.014792077497856113,False,False
